,tap,max_tap,batch_size,neuron,epochs,learning_rate,activation,N,itr,seed,bit_num,target_dir,step,image_number,ebtb,form,n,equalize,baudrate,PdBm,Ledfa,stepedfa,gamma,D,Alpha,NF,Lmax,ase,params_path,train_samples
32,31,501,100,300,150,0.001,ReLU,,,,,train_0,10.0,0,True,RZ16QAM,32,False,28,1,100,30,1.4,16,0.16,4,2500,True,../data/params/ANN/params_0000000032.pth,79067
33,31,501,100,300,200,0.001,ReLU,,,,,train_0,10.0,0,True,RZ16QAM,32,False,28,1,100,30,1.4,16,0.16,4,2500,True,../data/params/ANN/params_0000000033.pth,79067
34,31,501,100,300,250,0.001,ReLU,,,,,train_0,10.0,0,True,RZ16QAM,32,False,28,1,100,30,1.4,16,0.16,4,2500,True,../data/params/ANN/params_0000000034.pth,79067
35,31,501,100,300,300,0.001,ReLU,,,,,train_0,10.0,0,True,RZ16QAM,32,False,28,1,100,30,1.4,16,0.16,4,2500,True,../data/params/ANN/params_0000000035.pth,79067
36,31,501,100,300,350,0.001,ReLU,,,,,train_0,10.0,0,True,RZ16QAM,32,False,28,1,100,30,1.4,16,0.16,4,2500,True,../data/params/ANN/params_0000000036.pth,79067
37,31,501,100,300,400,0.001,ReLU,,,,,train_0,10.0,0,True,RZ16QAM,32,False,28,1,100,30,1.4,16,0.16,4,2500,True,../data/params/ANN/params_0000000037.pth,79067
38,31,501,100,300,450,0.001,ReLU,,,,,train_0,10.0,0,True,RZ16QAM,32,False,28,1,100,30,1.4,16,0.16,4,2500,True,../data/params/ANN/params_0000000038.pth,79067
39,31,501,100,300,500,0.001,ReLU,,,,,train_0,10.0,0,True,RZ16QAM,32,False,28,1,100,30,1.4,16,0.16,4,2500,True,../data/params/ANN/params_0000000039.pth,79067
40,41,501,100,300,50,0.001,ReLU,,,,,train_0,10.0,0,True,RZ16QAM,32,False,28,1,100,30,1.4,16,0.16,4,2500,True,../data/params/ANN/params_0000000040.pth,79067
41,41,501,100,300,100,0.001,ReLU,,,,,train_0,10.0,0,True,RZ16QAM,32,False,28,1,100,30,1.4,16,0.16,4,2500,True,../data/params/ANN/params_0000000041.pth,79067
42,41,501,100,300,150,0.001,ReLU,,,,,train_0,10.0,0,True,RZ16QAM,32,False,28,1,100,30,1.4,16,0.16,4,2500,True,../data/params/ANN/params_0000000042.pth,79067
43,41,501,100,300,200,0.001,ReLU,,,,,train_0,10.0,0,True,RZ16QAM,32,False,28,1,100,30,1.4,16,0.16,4,2500,True,../data/params/ANN/params_0000000043.pth,79067
44,41,501,100,300,250,0.001,ReLU,,,,,train_0,10.0,0,True,RZ16QAM,32,False,28,1,100,30,1.4,16,0.16,4,2500,True,../data/params/ANN/params_0000000044.pth,79067
45,41,501,100,300,300,0.001,ReLU,,,,,train_0,10.0,0,True,RZ16QAM,32,False,28,1,100,30,1.4,16,0.16,4,2500,True,../data/params/ANN/params_0000000045.pth,79067
46,41,501,100,300,350,0.001,ReLU,,,,,train_0,10.0,0,True,RZ16QAM,32,False,28,1,100,30,1.4,16,0.16,4,2500,True,../data/params/ANN/params_0000000046.pth,79067
47,41,501,100,300,400,0.001,ReLU,,,,,train_0,10.0,0,True,RZ16QAM,32,False,28,1,100,30,1.4,16,0.16,4,2500,True,../data/params/ANN/params_0000000047.pth,79067
48,41,501,100,300,450,0.001,ReLU,,,,,train_0,10.0,0,True,RZ16QAM,32,False,28,1,100,30,1.4,16,0.16,4,2500,True,../data/params/ANN/params_0000000048.pth,79067
